,Cities,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
91,bandarbeyla,8,SO,1536894668,83,9.49,50.81,73.36,24.74
92,wenatchee,75,US,1536893580,57,47.42,-120.31,60.84,10.29
93,sitka,0,US,1536894669,53,37.17,-99.65,81.1,17.47
94,nanortalik,92,GL,1536894669,100,60.14,-45.24,36.46,6.17
95,svetlaya,0,RU,1536894669,96,46.54,138.33,62.74,3.38
96,dingle,92,PH,1536894651,100,11.0,122.67,75.79,16.69
97,chelmno,75,PL,1536894000,93,53.35,18.43,55.4,2.24
98,castro,0,CL,1536894670,99,-42.48,-73.76,37.36,2.37
99,tuktoyaktuk,75,CA,1536890400,86,69.44,-133.03,28.4,12.75
100,san vicente,0,SV,1536889800,94,13.64,-88.78,76.1,2.24
101,barrow,0,AR,1536894672,92,-38.31,-60.23,51.04,9.64
102,sao filipe,76,CV,1536894672,100,14.9,-24.5,76.51,4.61
103,biak,24,ID,1536894672,73,-0.91,122.88,82.99,8.97
104,igarka,0,RU,1536894672,76,67.47,86.57,39.79,20.83
105,noshiro,75,JP,1536894000,65,40.21,140.05,76.71,6.93
106,college,20,US,1536893880,42,64.86,-147.8,62.15,9.17
107,astana,0,KZ,1536892200,61,51.13,71.43,50.0,8.95
108,miri,64,NG,1536894674,98,10.31,9.75,66.7,3.38
109,kaitangata,12,NZ,1536894674,59,-46.28,169.85,60.49,17.25
110,hithadhoo,88,MV,1536894674,100,-0.6,73.08,82.54,15.12
111,constitucion,90,MX,1536890100,82,23.99,-104.67,64.4,6.93
112,drogheda,75,IE,1536894000,81,53.71,-6.35,53.6,11.41
113,marsa matruh,20,EG,1536890400,73,31.35,27.25,73.4,8.05
114,mar del plata,12,AR,1536894675,52,-46.43,-67.52,55.99,21.27
115,hirara,40,JP,1536890400,79,24.8,125.28,86.05,18.34
116,harper,40,US,1536893700,89,30.3,-99.24,75.49,3.36
117,hermanus,32,ZA,1536894676,81,-34.42,19.24,51.31,7.74
118,kruisfontein,0,ZA,1536894676,92,-34.0,24.73,56.62,15.23
119,georgetown,40,GY,1536890400,100,6.8,-58.16,73.4,4.7
120,saint george,20,GR,1536893400,77,39.45,22.34,60.8,3.36
121,avarua,90,CK,1536890400,69,-21.21,-159.78,73.4,8.05
122,sinazongwe,0,ZM,1536894678,69,-17.26,27.46,64.09,5.17
123,cockburn town,88,TC,1536894678,97,21.46,-71.14,83.71,17.47
124,hamilton,40,BM,1536890100,83,32.3,-64.78,80.6,5.82
125,mahebourg,20,MU,1536890400,77,-20.41,57.7,69.8,4.7
126,bluff,0,AU,1536894679,35,-23.58,149.07,83.26,4.72
127,shimoda,75,JP,1536890400,94,34.7,138.93,69.8,10.29
128,porangatu,0,BR,1536894679,81,-13.44,-49.14,68.5,2.71
129,skelleftea,8,SE,1536893400,100,64.75,20.95,37.4,5.17
130,surt,0,LY,1536894486,100,31.21,16.59,73.27,5.39
131,dengzhou,88,CN,1536894680,78,32.69,112.08,76.06,5.17
132,beringovskiy,92,RU,1536894680,99,63.05,179.32,50.77,18.37
133,victoria,75,BN,1536892200,79,5.28,115.24,86.02,5.82
134,port moresby,40,PG,1536890400,66,-9.47,147.16,86.0,17.22
135,nantucket,1,US,1536892500,100,41.28,-70.1,62.92,8.97
136,north shore,75,CA,1536894000,93,49.51,-117.29,51.8,2.24
137,ust-kuyga,0,RU,1536894682,69,70.0,135.55,45.82,1.59
138,la ronge,90,CA,1536891120,93,55.1,-105.3,35.6,10.29
139,wilmington,90,US,1536893700,93,39.75,-75.55,71.11,10.29
140,ulcinj,0,ME,1536892200,63,41.93,19.22,61.56,2.24
141,emilio carranza,8,MX,1536894683,100,19.97,-96.61,73.18,2.15
142,tiznit,8,MA,1536894683,94,29.7,-9.73,66.43,2.71
143,talnakh,0,RU,1536894684,81,69.49,88.39,38.53,14.56
144,codrington,0,AU,1536894684,69,-28.95,153.24,75.43,3.49
145,iberia,32,PE,1536894684,95,-11.41,-69.49,76.06,2.15
146,ahipara,56,NZ,1536894684,84,-35.17,173.16,57.52,8.86
147,olmos,0,PE,1536894685,89,-5.99,-79.75,63.73,2.37
148,nisia floresta,20,BR,1536894000,78,-6.09,-35.21,73.4,12.75
149,souillac,75,FR,1536894000,82,45.6,-0.6,60.64,4.7
150,rabo de peixe,20,PT,1536892200,83,37.8,-25.58,69.8,6.93
151,richards bay,92,ZA,1536894686,98,-28.77,32.06,63.46,2.71
152,port-gentil,80,GA,1536894686,99,-0.72,8.78,75.43,8.97
153,aleksandrovsk-sakhalinskiy,12,RU,1536894686,76,50.9,142.16,63.46,5.73
154,topchikha,24,RU,1536894687,65,52.82,83.12,54.01,18.48
155,vanimo,68,PG,1536894687,100,-2.67,141.3,80.29,13.44
156,belmonte,0,PT,1536894687,78,40.36,-7.35,59.68,3.6
157,huatulco,80,MX,1536894688,100,15.84,-96.33,81.55,0.69
158,soyo,92,AO,1536894688,91,-6.13,12.37,71.29,3.6
159,sargur,32,IN,1536894688,86,11.98,76.42,71.38,3.94
160,chokurdakh,88,RU,1536894689,96,70.62,147.9,39.43,14.0
161,lebu,44,ET,1536894689,81,8.96,38.73,43.12,2.59
162,carnarvon,8,ZA,1536894689,70,-30.97,22.13,28.0,4.05
163,pontianak,20,ID,1536892200,58,-0.02,109.34,86.0,11.41
164,bodden town,20,KY,1536894000,94,19.28,-81.25,80.6,2.24
165,bastia,0,IT,1536893400,78,44.6,8.98,71.6,4.7
166,kununurra,0,AU,1536892200,33,-15.77,128.74,91.4,5.82
167,half moon bay,20,US,1536893220,72,37.46,-122.43,63.72,6.93
168,qaanaaq,0,GL,1536894691,100,77.48,-69.36,24.49,6.06
169,manggar,0,ID,1536894691,62,-2.88,108.27,88.39,12.1
170,doha,0,QA,1536890400,75,25.29,51.53,89.6,2.24
171,lagoa,0,PT,1536892200,88,37.14,-8.45,68.0,2.24
172,haimen,32,CN,1536894692,79,31.87,121.18,84.79,4.38
173,petropavlovsk-kamchatskiy,0,RU,1536892200,42,53.05,158.65,66.2,4.47
174,hede,68,SE,1536893400,87,60.45,15.49,51.8,9.17
175,boende,92,CD,1536894693,95,-0.28,20.88,72.28,2.15
176,hervey bay,0,AU,1536894693,79,-25.3,152.85,72.46,5.17
177,kundian,0,PK,1536894694,74,32.46,71.49,76.78,9.42
178,severo-kurilsk,32,RU,1536894694,83,50.68,156.12,56.8,6.62
179,iqaluit,20,CA,1536890400,100,63.75,-68.52,32.0,5.82
180,vila velha,0,BR,1536894000,74,-3.71,-38.6,78.8,13.87
181,quelimane,0,MZ,1536894695,91,-17.88,36.89,64.72,3.38
182,cayenne,0,GF,1536892200,100,4.94,-52.33,77.0,1.12
183,muros,20,ES,1536894000,100,42.77,-9.06,59.0,6.93
184,sidi ali,68,DZ,1536894696,86,36.1,0.42,68.86,2.71
185,puro,100,PH,1536894696,100,13.13,123.76,76.33,19.37
186,pevek,92,RU,1536894696,86,69.7,170.27,48.7,7.18
187,sarankhola,48,BD,1536894696,88,22.31,89.79,87.13,6.17
188,portland,90,US,1536893820,67,45.52,-122.67,61.48,3.36
189,lavrentiya,80,RU,1536894697,97,65.58,-170.99,49.06,15.68
190,waipawa,0,NZ,1536894697,63,-39.94,176.59,62.47,14.23
191,craig,1,US,1536892500,6,40.52,-107.55,68.5,3.36
192,le port,20,FR,1536894698,100,42.87,1.37,43.75,0.25
193,hay river,75,CA,1536890400,64,60.82,-115.79,39.2,2.24
194,touros,8,BR,1536894699,83,-5.2,-35.46,74.53,18.59
195,garowe,20,SO,1536894699,56,8.41,48.48,78.13,16.8
196,kpandu,92,GH,1536894699,87,7.0,0.29,75.43,3.6
197,santo domingo,40,DO,1536890400,88,18.48,-69.94,78.8,4.7
198,shache,92,CN,1536894701,50,38.42,77.24,59.41,10.98
199,fare,92,PF,1536894701,99,-16.7,-151.02,79.84,10.31
200,vardo,90,US,1536893700,93,39.62,-77.74,71.78,3.36
201,todos santos,75,MX,1536889740,78,23.45,-110.23,84.2,9.17
202,ternate,90,PH,1536894000,94,14.29,120.72,84.2,8.05
203,towson,90,US,1536893580,100,39.4,-76.6,73.51,4.7
204,kieta,92,PG,1536894702,100,-6.22,155.63,76.15,3.04
205,airai,0,TL,1536894702,36,-8.93,125.41,84.43,1.36
206,fillan,75,NO,1536893400,76,63.6,8.98,50.0,9.17
207,brae,88,GB,1536893400,81,60.4,-1.35,50.23,13.87
208,salamanca,0,ES,1536894000,87,40.97,-5.66,55.4,1.12
209,yunguyo,0,PE,1536894703,100,-16.24,-69.09,43.39,5.17
210,nandyal,8,IN,1536894704,72,15.47,78.48,80.11,3.94
211,bayir,20,TR,1536891600,72,37.27,28.22,64.4,4.7
212,marienburg,32,DE,1536893400,93,52.12,9.98,45.12,1.12
213,rancho palos verdes,5,US,1536890280,77,33.75,-118.37,76.64,10.29
214,barras,0,BR,1536894705,38,-4.24,-42.29,80.29,9.19
215,whitehorse,20,CA,1536890400,61,60.72,-135.06,50.0,11.41
216,norman wells,75,CA,1536890400,45,65.28,-126.83,42.8,9.17
217,wajima,75,JP,1536890400,83,37.4,136.9,75.2,4.7
218,ranong,75,TH,1536890400,94,9.96,98.62,78.8,8.08
219,sao joao da barra,36,BR,1536894706,100,-21.64,-41.05,72.28,19.37
220,marystown,0,CA,1536894423,95,47.17,-55.16,57.07,4.61
221,na klang,40,TH,1536890400,83,17.3,102.21,84.25,3.36
222,batouri,92,CM,1536894707,97,4.44,14.36,68.05,4.16
223,ondjiva,0,AO,1536894707,53,-17.07,15.73,52.39,2.71
224,mizdah,0,LY,1536894708,72,31.45,12.98,66.79,4.27
225,ponta do sol,56,BR,1536894708,96,-20.63,-46.0,58.51,2.04
226,richmond,1,CA,1536893700,77,49.16,-123.14,59.95,5.82
227,saint anthony,1,US,1536890160,6,43.97,-111.68,58.44,8.52
228,grindavik,40,IS,1536892200,80,63.84,-22.43,38.82,10.29
229,port hedland,0,AU,1536892200,22,-20.31,118.58,95.0,12.75
230,celestun,24,MX,1536894709,100,20.87,-90.4,83.26,13.89
231,kemalpasa,0,TR,1536891600,77,38.43,27.42,62.6,2.24
232,sabang,92,PH,1536894710,100,13.72,123.58,76.06,21.27
233,banihal,64,IN,1536894710,97,33.44,75.2,51.58,2.15
234,genhe,20,CN,1536894711,71,50.78,121.52,55.99,5.28
235,alofi,90,NU,1536890400,94,-19.06,-169.92,71.6,17.22
236,nayagarh,8,IN,1536894711,83,20.13,85.1,85.42,4.27
237,catuday,92,PH,1536894712,98,16.29,119.81,82.54,9.64
238,kavieng,0,PG,1536894712,100,-2.57,150.8,84.79,4.16
239,wilkie,90,CA,1536893040,100,52.41,-108.71,37.4,8.05
240,darnah,0,LY,1536894713,97,32.77,22.64,79.93,7.96
241,vestmannaeyjar,56,IS,1536894713,99,63.44,-20.27,44.83,11.43
242,isangel,76,VU,1536894714,100,-19.55,169.27,75.16,16.13
243,payson,1,US,1536893760,36,40.04,-111.73,67.48,5.39
244,pyaozerskiy,92,RU,1536894714,100,65.83,31.17,49.69,10.54
245,manono,36,CD,1536894714,93,-7.3,27.4,64.63,2.82
246,lorengau,44,PG,1536894715,100,-2.02,147.27,82.99,8.75
247,goderich,44,CA,1536894715,86,43.74,-81.71,69.94,11.65
248,clearwater,90,US,1536892500,88,27.97,-82.8,77.52,9.17
249,singuilucan,36,MX,1536894715,96,19.97,-98.52,50.68,2.59
250,montes claros,0,BR,1536894716,72,-16.73,-43.87,65.71,13.0
251,jinchang,92,CN,1536894716,87,38.52,102.19,43.03,4.72
252,asyut,0,EG,1536890400,49,27.18,31.19,71.6,4.7
253,sur,0,OM,1536894716,98,22.57,59.53,81.19,1.92
254,ribeira grande,92,PT,1536894717,100,38.52,-28.7,73.81,11.43
255,nishihara,90,JP,1536894000,78,35.74,139.53,73.11,5.82
256,bubaque,20,GW,1536890400,88,11.28,-15.83,78.8,2.24
257,yumen,24,CN,1536894718,54,40.29,97.04,46.81,5.73
258,tiksi,0,RU,1536894718,88,71.64,128.87,44.83,3.94
259,green river,20,US,1536893640,7,41.53,-109.47,62.06,6.93
260,mawlaik,36,MM,1536894719,91,23.63,94.42,78.4,2.59
261,cabo san lucas,75,MX,1536889500,78,22.89,-109.91,82.65,9.17
262,thompson,75,CA,1536890400,81,55.74,-97.86,51.8,2.24
263,arraial do cabo,0,BR,1536894720,91,-22.97,-42.02,69.31,20.49
264,zhanaozen,0,KZ,1536894720,29,43.35,52.85,62.47,13.0
265,yerofey pavlovich,64,RU,1536894720,84,53.97,121.97,52.66,3.71
266,sayaxche,12,GT,1536894720,85,16.52,-90.17,78.58,6.73
267,samfya,0,ZM,1536894721,55,-11.37,29.56,64.54,9.31
268,ambovombe,0,MG,1536894721,97,-25.18,46.09,62.29,6.29
269,dzilam gonzalez,20,MX,1536894721,89,21.28,-88.93,77.68,4.94
270,guerrero negro,0,MX,1536894721,85,27.97,-114.04,72.19,9.42
271,ojinaga,0,US,1536894722,44,29.56,-104.41,73.9,8.41
272,severo-yeniseyskiy,36,RU,1536894722,82,60.37,93.04,35.65,3.83
273,nelson bay,0,AU,1536892200,64,-32.72,152.14,73.4,10.29
274,paamiut,92,GL,1536894723,100,61.99,-49.67,37.54,6.85
275,luderitz,0,NA,1536894723,90,-26.65,15.16,49.69,12.77
276,acapulco,90,MX,1536889500,88,16.86,-99.88,80.6,9.17
277,fairbanks,20,US,1536893880,42,64.84,-147.72,62.17,9.17
278,heihe,0,RU,1536892200,52,50.24,127.51,66.2,6.71
279,benoni,0,ZA,1536894724,31,-26.19,28.31,35.65,5.39
280,saskylakh,0,RU,1536894724,77,71.97,114.09,43.75,6.17
281,saint-pierre,90,FR,1536894000,87,48.95,4.24,58.19,4.7
282,lata,8,IN,1536894726,97,30.78,78.62,57.79,0.25
283,mongo,8,CF,1536894726,98,4.83,22.92,67.69,2.04
284,derzhavinsk,0,KZ,1536894726,50,51.1,66.31,53.65,18.48
285,grootfontein,0,NA,1536894726,59,-19.56,18.1,47.98,1.59
286,bontang,8,ID,1536894727,79,0.12,117.47,86.68,11.32
287,nikolskoye,0,RU,1536892200,93,59.7,30.79,48.2,6.71
288,arlit,0,NE,1536894727,22,18.74,7.39,73.36,4.38
289,banda aceh,12,ID,1536894728,73,5.56,95.32,84.61,3.49
290,cam ranh,64,VN,1536894728,96,11.92,109.15,81.01,1.7
291,khuzhir,0,RU,1536894728,92,53.19,107.35,45.01,7.4
292,san cristobal,75,EC,1536890400,81,-0.39,-78.55,51.8,4.7
293,kargala,88,RU,1536894729,70,56.62,83.96,54.46,14.56
294,nome,1,US,1536893700,88,30.04,-94.42,77.65,5.82
295,suba,92,CN,1536894730,100,28.73,103.51,64.45,2.71
296,hami,0,CN,1536894730,84,42.84,93.51,53.38,6.17
297,alyangula,8,AU,1536894730,80,-13.85,136.42,82.81,10.76
298,ixtlan del rio,90,MX,1536889320,94,21.03,-104.37,68.0,0.92
299,visselhovede,0,DE,1536893400,100,52.98,9.6,44.01,2.24
300,palmer,0,AU,1536892200,25,-34.85,139.16,73.4,20.8
301,coquimbo,90,CL,1536890400,81,-29.95,-71.34,53.6,4.7
302,luhyny,20,UA,1536894732,87,51.08,28.4,54.64,2.82
303,bud,92,NO,1536893400,76,62.91,6.91,50.0,8.05
304,havre-saint-pierre,20,CA,1536890400,82,50.23,-63.6,60.8,8.05
305,carballo,48,ES,1536894000,93,43.21,-8.69,60.75,5.82
306,lewisporte,90,CA,1536890400,100,49.25,-55.06,53.6,8.05
307,iquique,90,CL,1536890400,67,-20.22,-70.14,62.6,10.29
308,banjar,36,ID,1536894733,66,-7.37,108.54,77.14,4.5
309,mayumba,92,GA,1536894734,100,-3.44,10.65,72.91,6.17
310,jiazi,75,CN,1536890400,88,19.61,110.49,80.6,15.66
311,mahon,75,IE,1536894000,93,51.89,-8.4,51.8,10.29
312,ambilobe,0,MG,1536894735,81,-13.19,49.05,63.1,5.06
313,santa cruz,20,US,1536893220,72,36.97,-122.03,64.42,6.93
314,honiara,40,SB,1536890400,59,-9.43,159.96,91.4,16.11
315,muhos,0,FI,1536893400,93,64.81,26.0,46.4,9.17
316,mustasaari,0,FI,1536893400,93,63.17,21.67,46.4,8.05
317,letlhakeng,0,BW,1536894738,53,-24.1,25.03,46.63,2.93
318,avera,1,US,1536892500,79,33.19,-82.53,79.56,3.36
319,yima,56,CN,1536894739,74,34.75,111.87,69.67,3.83
320,tommot,92,RU,1536894739,89,58.97,126.27,43.93,3.27
321,la libertad,0,PE,1536890400,27,-16.38,-71.56,51.8,2.93
322,manta,0,RO,1536894740,91,45.1,24.1,52.66,2.37
323,waingapu,0,ID,1536894740,46,-9.65,120.26,86.41,5.5
324,taitung,75,TW,1536893400,62,22.76,121.15,86.0,14.99
325,port-cartier,5,CA,1536890400,87,50.03,-66.88,55.4,9.64
326,seybaplaya,90,MX,1536889260,100,19.65,-90.67,75.2,11.41
327,port hawkesbury,1,CA,1536890400,100,45.62,-61.36,50.0,4.7
328,porteirinha,8,BR,1536894742,64,-15.74,-43.03,69.22,11.77
329,aksu,0,KZ,1536892200,62,52.04,76.93,53.6,8.95
330,itarema,0,BR,1536894742,80,-2.92,-39.92,76.06,15.35
331,grand gaube,20,MU,1536890400,77,-20.01,57.66,69.8,4.7
332,la rioja,92,AR,1536894521,100,-29.41,-66.86,56.53,0.69
333,strezhevoy,75,RU,1536892200,100,60.73,77.6,50.0,13.42
334,requena,0,ES,1536894000,88,39.49,-1.1,71.6,2.24
335,katsuura,75,JP,1536894000,88,33.93,134.5,75.2,6.93
336,leshukonskoye,76,RU,1536894744,97,64.9,45.76,50.41,7.07
337,aykhal,0,RU,1536894744,69,65.95,111.51,41.59,4.38
338,dawei,92,MM,1536894744,100,14.07,98.19,71.65,1.92
339,husavik,44,CA,1536894745,96,50.56,-96.99,57.43,9.31
340,boysun,8,UZ,1536894745,72,38.2,67.2,48.79,1.7
341,murmashi,75,RU,1536892200,93,68.82,32.82,46.4,2.24
342,clyde river,90,CA,1536890400,100,70.47,-68.59,33.8,3.36
343,geraldton,40,CA,1536890400,77,49.72,-86.95,62.6,10.29
344,madhogarh,0,IN,1536894746,76,28.31,76.03,81.1,11.1
345,inhambane,0,MZ,1536894746,100,-23.87,35.38,66.79,10.76
346,meulaboh,36,ID,1536894746,100,4.14,96.13,81.28,0.69
347,sinjar,0,SY,1536894747,92,35.59,37.0,67.24,9.42
348,la palma,44,CO,1536894747,100,5.36,-74.39,65.44,1.14
349,wattegama,24,LK,1536894748,75,7.35,80.68,77.77,5.17
350,berlevag,75,NO,1536893400,81,70.86,29.09,50.0,9.17
351,ilulissat,12,GL,1536893400,80,69.22,-51.1,30.2,2.24
352,itamarandiba,88,BR,1536894750,85,-17.86,-42.86,62.38,7.52
353,kaeo,12,NZ,1536894750,62,-35.1,173.78,62.11,8.19
354,barquisimeto,76,VE,1536894622,99,10.07,-69.32,67.06,2.71
355,port lincoln,0,AU,1536894750,76,-34.72,135.86,65.08,16.02
356,port hardy,75,CA,1536894000,82,50.7,-127.42,55.4,3.36
357,neuquen,0,AR,1536890400,66,-38.95,-68.06,48.2,4.83
358,rawson,0,AR,1536894751,40,-43.3,-65.11,46.18,6.73
359,mala,12,PE,1536894751,100,-12.66,-76.63,59.23,8.41
360,hambantota,56,LK,1536894752,95,6.12,81.12,81.73,9.42
361,hovd,75,NO,1536893400,93,63.83,10.7,47.41,10.29
362,nanyuki,36,KE,1536894752,98,0.01,37.07,45.37,3.15
363,izumo,75,JP,1536890400,78,35.37,132.75,77.0,9.17
364,mildura,0,AU,1536894753,42,-34.18,142.16,73.63,15.79
365,fukue,75,JP,1536892980,73,35.03,136.69,72.66,3.36
366,boa vista,40,BR,1536894000,83,2.82,-60.67,78.8,2.24
367,san quintin,75,PH,1536894000,83,17.54,120.52,84.2,6.93
368,dibrugarh,75,IN,1536894000,94,27.48,94.9,78.8,5.82
369,biltine,92,TD,1536894756,67,14.53,20.93,74.98,8.75
370,san andres,100,PH,1536894756,100,13.32,122.68,81.82,16.69
371,srandakan,92,ID,1536894756,77,-7.94,110.25,75.61,4.61
372,cartagena,64,ES,1536894000,88,37.63,-1.0,73.4,4.7
373,cabadiangan,90,PH,1536894000,78,10.45,123.98,82.4,19.46
374,kushiro,75,JP,1536890400,83,43.11,144.15,69.8,8.05
375,watertown,1,US,1536893580,90,44.9,-97.12,74.84,11.41
376,namibe,88,AO,1536894758,100,-15.19,12.15,64.54,2.59
377,gulu,0,UG,1536894511,97,2.77,32.3,60.31,3.04
378,dakoro,0,NE,1536894759,93,14.51,6.76,70.21,7.74
379,dunedin,0,NZ,1536894759,68,-45.87,170.5,60.67,2.59
380,dali,64,CN,1536894759,83,25.6,100.24,67.69,1.36
381,hearst,0,CA,1536894760,54,49.69,-83.67,67.96,7.63
382,ben tre,100,VN,1536894760,100,10.24,106.37,75.79,8.41
383,sangar,0,RU,1536894760,52,63.92,127.47,50.23,3.04
384,hella,56,IS,1536894760,99,63.84,-20.4,44.83,11.43
385,tikhvin,44,RU,1536894761,71,59.64,33.53,50.41,5.39
386,haines junction,80,CA,1536894761,70,60.75,-137.51,43.39,2.71
